timestamp,author_channel_id,display_name,message_text,message_sentiment,message_summary,message_type,super_chat_amount,video_offset_sec
2026-05-02T13:46:52.641Z,UCRW-u9pyKpypEmjKKmvO_6A,@EMPtraxis,Looks like this is gonna be target practice for teams that have already made it to playoffs.,neutral,looks like this,textMessageEvent,,65.444
2026-05-02T13:48:56.241Z,UCUaoe_b7_H7S1hN25er99eA,@georathor8814,if fnc goes 0-2 this week its byebye playoffs ? or still a chance ?,questioning,question,textMessageEvent,,188.985
2026-05-02T13:49:34.666Z,UCYw246cyLEB3GprEEUBs2rw,@KILLERMIKE-1,wsp,neutral,wsp,textMessageEvent,,227.565
2026-05-02T13:50:26.812Z,UCTJYD_exfZg8UVjn80ROLqQ,@limeyman.,i like league saturdays,neutral,i like league,textMessageEvent,,279.644
2026-05-02T13:50:49.903Z,UCTJYD_exfZg8UVjn80ROLqQ,@limeyman.,lck into lpl into lec into lcs :D,neutral,lck into lpl,textMessageEvent,,302.712
2026-05-02T13:51:48.989Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,Yeep it a full day of league!,neutral,yeep it a,textMessageEvent,,361.771
2026-05-02T13:51:53.473Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,How are you doing chat,neutral,how are you,textMessageEvent,,366.204
2026-05-02T13:52:23.912Z,UCUaoe_b7_H7S1hN25er99eA,@georathor8814,0-2 or 2-0 this week ,neutral,0 2 or,textMessageEvent,,396.689
2026-05-02T13:52:55.066Z,UCBDghRlQ0rEnwS3ytiX4bcQ,@Savathor,FNC are bacially out already. They've lost to all the teams above them except G2. So their only hope is G2 losing every game,neutral,fnc are bacially,textMessageEvent,,427.909
2026-05-02T13:53:18.226Z,UCBDghRlQ0rEnwS3ytiX4bcQ,@Savathor,basically*,neutral,basically,textMessageEvent,,450.959
2026-05-02T13:56:04.896Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,617.623
2026-05-02T13:59:56.263Z,UCPBVhSTaXBCshmafBcdpQew,@ablebob,Morning!,neutral,morning,textMessageEvent,,849.081
2026-05-02T14:00:49.084Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,Good morning!,neutral,good morning,textMessageEvent,,901.948
2026-05-02T14:01:06.716Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Follow LEC on TikTok: https://www.tiktok.com/@lec,neutral,follow lec on,textMessageEvent,,919.41
2026-05-02T14:01:26.788Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Remember to Follow LEC on X: https://x.com/LEC,neutral,remember to follow,textMessageEvent,,939.565
